"record_id";"redcap_repeat_instrument";"redcap_repeat_instance";"profesional";"date_inclusion";"inclusion_criteria";"e_mail";"age_prof";"int_per_year";"exper_years";"characteristics_of_professional_complete"
1;"";"";"Pau";"";1;"Pau@gmail.com";"";"";"";0
2;"";"";"Anna";"";1;"Anna@gmail.com";"";"";"";0
3;"";"";"Joan";"";1;"Joan@gmail.com";"";"";"";0
4;"";"";"Laura";"";1;"Laura@gmail.com";"";"";"";0
5;"";"";"Marc";"";1;"Marc@gmail.com";"";"";"";0
6;"";"";"Clara";"";1;"Clara@gmail.com";"";"";"";0
7;"";"";"Pol";"";1;"Pol@gmail.com";"";"";"";0
8;"";"";"Mireia";"";1;"Mireia@gmail.com";"";"";"";0
9;"";"";"David";"";1;"David@gmail.com";"";"";"";0
10;"";"";"Nuria";"";1;"Nuria@gmail.com";"";"";"";0
